<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20170130,000000,153.6800000,153.9000000,150.3500000,150.8000000,21526460
GAZP,D,20170131,000000,150.5900000,151.4200000,149.1500000,149.8000000,28259280
GAZP,D,20170201,000000,150.0500000,150.3800000,148.3200000,149.6500000,20765250
GAZP,D,20170202,000000,149.8200000,150.4500000,148.1500000,148.8000000,20492720
GAZP,D,20170203,000000,148.8500000,150.2000000,148.3700000,149.3500000,20814340
GAZP,D,20170206,000000,149.3800000,149.7000000,147.6300000,148.5000000,22086970
GAZP,D,20170207,000000,148.3000000,148.7000000,147.6000000,148.7000000,13840720
GAZP,D,20170208,000000,148.2200000,148.2200000,143.9000000,145.2000000,64427740
GAZP,D,20170209,000000,145.3400000,145.6000000,141.5700000,142.1100000,52175480
GAZP,D,20170210,000000,142.6700000,143.1400000,140.5000000,140.5000000,41104060
GAZP,D,20170213,000000,141.1100000,142.6700000,140.0200000,141.2000000,25967100
GAZP,D,20170214,000000,141.2700000,141.4900000,139.8500000,140.6200000,20220020
GAZP,D,20170215,000000,140.4500000,141.5000000,138.9200000,139.7200000,36920930
GAZP,D,20170216,000000,139.9300000,140.3000000,138.0100000,139.1600000,33168350
GAZP,D,20170217,000000,139.2600000,139.4200000,137.2300000,138.1200000,32101640
GAZP,D,20170220,000000,138.5900000,140.1300000,137.4000000,138.5000000,24702920
GAZP,D,20170221,000000,138.6000000,139.6000000,138.0000000,138.3500000,21680250
GAZP,D,20170222,000000,138.6300000,138.7800000,136.0500000,136.6800000,27399460
GAZP,D,20170224,000000,136.5100000,137.2000000,135.6000000,136.7500000,17160200
GAZP,D,20170227,000000,137.1500000,137.4800000,135.0700000,135.0700000,24033800
GAZP,D,20170228,000000,135.7000000,135.8900000,132.0000000,134.0000000,98572140
GAZP,D,20170301,000000,133.4500000,134.9900000,133.0000000,133.8500000,38089190
GAZP,D,20170302,000000,134.0500000,135.1000000,131.3000000,131.3000000,42646250
GAZP,D,20170303,000000,131.1500000,134.9000000,130.6400000,134.8000000,39932510
GAZP,D,20170306,000000,134.8400000,135.9700000,134.3200000,134.6000000,28037340
GAZP,D,20170307,000000,135.1300000,135.1300000,131.9000000,132.8900000,28851710
GAZP,D,20170309,000000,132.0500000,133.2600000,128.8100000,129.0000000,53078370
GAZP,D,20170310,000000,129.2500000,130.8800000,127.8000000,128.7800000,33482710
GAZP,D,20170313,000000,128.7000000,130.5500000,127.8200000,129.9300000,34286840
GAZP,D,20170314,000000,130.0200000,131.3400000,128.3200000,128.8000000,39437470
GAZP,D,20170315,000000,129.2300000,129.6900000,127.2000000,127.6000000,30974550
GAZP,D,20170316,000000,128.4200000,129.3000000,127.6100000,128.0500000,51272510
GAZP,D,20170317,000000,128.1300000,130.4200000,128.0100000,128.9400000,42848850
GAZP,D,20170320,000000,129.3400000,130.1300000,128.0200000,128.7900000,30291150
GAZP,D,20170321,000000,129.0200000,130.4200000,128.5100000,129.3000000,37858520
GAZP,D,20170322,000000,129.0700000,131.6500000,128.9000000,131.6500000,36178550
GAZP,D,20170323,000000,131.7900000,132.9400000,130.2200000,130.9900000,39340300
GAZP,D,20170324,000000,130.7700000,131.4800000,129.7200000,130.0500000,20544290
GAZP,D,20170327,000000,129.4500000,129.4700000,127.4100000,128.8000000,28915460
GAZP,D,20170328,000000,129.0000000,129.6000000,128.1000000,129.2000000,23646730
GAZP,D,20170329,000000,129.1300000,129.7800000,128.5500000,128.8100000,15784750
GAZP,D,20170330,000000,129.1500000,129.9900000,128.2000000,128.4900000,28682860
GAZP,D,20170331,000000,128.4900000,128.6400000,126.8000000,127.9000000,29052680
GAZP,D,20170403,000000,128.0900000,128.5000000,127.0200000,127.2100000,19832730
GAZP,D,20170404,000000,127.5500000,128.9000000,126.8000000,128.8100000,26293950
GAZP,D,20170405,000000,128.8800000,131.2500000,128.8200000,130.6900000,34434130
GAZP,D,20170406,000000,130.1800000,130.9300000,129.5500000,130.5000000,23581140
GAZP,D,20170407,000000,129.7000000,129.8900000,127.8400000,128.7200000,27362790
GAZP,D,20170410,000000,128.1000000,128.4000000,125.8100000,126.1600000,29799810
GAZP,D,20170411,000000,125.9700000,127.6900000,125.5000000,126.0000000,32626680
GAZP,D,20170412,000000,127.0600000,127.4500000,124.6200000,125.0500000,28702040
GAZP,D,20170413,000000,125.6500000,125.9500000,123.5000000,124.5400000,42139090
GAZP,D,20170414,000000,124.2700000,124.3700000,122.6300000,122.8500000,14689130
GAZP,D,20170417,000000,123.0100000,124.0300000,122.2500000,123.7000000,21595230
GAZP,D,20170418,000000,124.0900000,124.3900000,122.0300000,122.2200000,22081750
GAZP,D,20170419,000000,122.3600000,123.1500000,121.2500000,121.5500000,28911230
GAZP,D,20170420,000000,121.3000000,121.9900000,120.5500000,121.9900000,32955940
GAZP,D,20170421,000000,122.1500000,123.6400000,122.1300000,123.0000000,29465300
GAZP,D,20170424,000000,123.5600000,128.4000000,123.3800000,128.0000000,66751830
GAZP,D,20170425,000000,128.5000000,131.7500000,127.9800000,130.2000000,57382670
GAZP,D,20170426,000000,130.1900000,134.0000000,130.0100000,133.4300000,57635150
GAZP,D,20170427,000000,133.3700000,136.6000000,132.2200000,133.4100000,99542840
GAZP,D,20170428,000000,136.0000000,137.7700000,135.0500000,136.7500000,52186090
GAZP,D,20170502,000000,137.2500000,138.4300000,136.2800000,136.5200000,33809990
GAZP,D,20170503,000000,136.4500000,138.0900000,135.1000000,135.8100000,33129650
GAZP,D,20170504,000000,135.8900000,136.4100000,134.3000000,134.9300000,31945660
GAZP,D,20170505,000000,133.7000000,134.9400000,132.9100000,134.4100000,26216280
GAZP,D,20170510,000000,134.9800000,135.4300000,133.5100000,134.1900000,23714000
GAZP,D,20170511,000000,134.5700000,134.7500000,130.3700000,131.1000000,36600410
GAZP,D,20170512,000000,131.4100000,132.5000000,130.2000000,132.5000000,23886540
GAZP,D,20170515,000000,132.7900000,133.9200000,129.2800000,131.5000000,46356520
GAZP,D,20170516,000000,131.4100000,133.0700000,130.2700000,131.1300000,22519330
GAZP,D,20170517,000000,130.9700000,132.1800000,130.6000000,132.0700000,17611290
GAZP,D,20170518,000000,131.3700000,132.8400000,125.8500000,126.9000000,80113110
GAZP,D,20170519,000000,127.3000000,127.4000000,124.0000000,124.1900000,57664570
GAZP,D,20170522,000000,124.4900000,124.4900000,122.1700000,122.5200000,39193160
GAZP,D,20170523,000000,122.5800000,123.7100000,121.9600000,123.2300000,34369260
GAZP,D,20170524,000000,123.3000000,123.6700000,120.9200000,122.0000000,32248550
GAZP,D,20170525,000000,122.3200000,122.4700000,120.7500000,121.6100000,24546840
GAZP,D,20170526,000000,121.4000000,122.2000000,120.5400000,122.2000000,22646890
GAZP,D,20170529,000000,122.4100000,123.8300000,122.1100000,123.1100000,24470000
GAZP,D,20170530,000000,122.7200000,122.9100000,121.7900000,122.1000000,16057320
GAZP,D,20170531,000000,122.2500000,122.7800000,119.4000000,120.2800000,55389010
GAZP,D,20170601,000000,120.2900000,120.9800000,117.2400000,118.0000000,48558490
GAZP,D,20170602,000000,117.8000000,119.6900000,116.5500000,119.6900000,38260450
GAZP,D,20170605,000000,119.5900000,120.9900000,118.5500000,119.0000000,24767790
GAZP,D,20170606,000000,119.0900000,120.2400000,118.6600000,119.0500000,18193840
GAZP,D,20170607,000000,119.3300000,121.4400000,118.8500000,118.9200000,27870030
GAZP,D,20170608,000000,119.1900000,120.1100000,117.8200000,119.3000000,27514310
GAZP,D,20170609,000000,119.3200000,120.5000000,118.9500000,120.5000000,21294170
GAZP,D,20170613,000000,120.2900000,120.3800000,118.1500000,118.1500000,31058980
GAZP,D,20170614,000000,118.2600000,118.5400000,115.1000000,115.3500000,47003760
GAZP,D,20170615,000000,115.2500000,115.7500000,111.4600000,115.4900000,120644420
GAZP,D,20170616,000000,115.8100000,117.2500000,114.6000000,116.0200000,40336010
GAZP,D,20170619,000000,116.0000000,117.4500000,115.7900000,117.3300000,21749140
GAZP,D,20170620,000000,117.5100000,119.0000000,116.5600000,117.4400000,29930700
GAZP,D,20170621,000000,117.5000000,118.3200000,116.8400000,117.9700000,23560060
GAZP,D,20170622,000000,117.7800000,119.7800000,116.8600000,119.5500000,31513190
GAZP,D,20170623,000000,119.5200000,120.0900000,118.6600000,119.1000000,23303360
GAZP,D,20170626,000000,119.5000000,119.9700000,118.2600000,118.6700000,18274640
GAZP,D,20170627,000000,118.4000000,119.7500000,118.0200000,119.3500000,18365790
GAZP,D,20170628,000000,118.7200000,119.7000000,118.1900000,119.7000000,21106940
GAZP,D,20170629,000000,120.1800000,120.8800000,118.8000000,119.1600000,26435690
GAZP,D,20170630,000000,118.9500000,120.2200000,118.1800000,118.4900000,22432000
GAZP,D,20170703,000000,119.1700000,119.9300000,118.7500000,119.8600000,18087840
GAZP,D,20170704,000000,120.0000000,123.2900000,119.7200000,122.7300000,37693640
GAZP,D,20170705,000000,122.9500000,123.7500000,122.3200000,122.7000000,26052360
GAZP,D,20170706,000000,122.8200000,123.6500000,121.4400000,122.6800000,25151140
GAZP,D,20170707,000000,122.1900000,123.0000000,121.4000000,123.0000000,24725120
GAZP,D,20170710,000000,123.2600000,124.6200000,123.0300000,124.2500000,27166510
GAZP,D,20170711,000000,124.3800000,124.9400000,123.8500000,124.7800000,20642420
GAZP,D,20170712,000000,125.0100000,125.3000000,124.1900000,124.8700000,22701550
GAZP,D,20170713,000000,124.7900000,125.8900000,124.6600000,125.5500000,29387490
GAZP,D,20170714,000000,125.6700000,126.3500000,125.0000000,125.0000000,21555180
GAZP,D,20170717,000000,125.3900000,125.7000000,124.3000000,125.1400000,23810200
GAZP,D,20170718,000000,125.0900000,125.7500000,124.4900000,124.4900000,39544710
GAZP,D,20170719,000000,118.4400000,120.1100000,118.1100000,120.1100000,42498820
GAZP,D,20170720,000000,120.2900000,121.2700000,119.8100000,120.6000000,21786790
GAZP,D,20170721,000000,120.2100000,120.2600000,118.6500000,118.9500000,20841430
GAZP,D,20170724,000000,118.5400000,119.4000000,117.9200000,119.1700000,22726670
GAZP,D,20170725,000000,119.1600000,119.7000000,117.6700000,118.4000000,23673000
GAZP,D,20170726,000000,118.3500000,119.1200000,118.2500000,119.0000000,22310500
GAZP,D,20170727,000000,119.1200000,119.3500000,117.8300000,118.6800000,25737570
GAZP,D,20170728,000000,118.1600000,118.1800000,115.4100000,116.9000000,34566970
GAZP,D,20170731,000000,116.7100000,118.1800000,115.0800000,116.1000000,40277050
GAZP,D,20170801,000000,116.8300000,118.6500000,116.8200000,117.9900000,28881020
GAZP,D,20170802,000000,118.0000000,119.0900000,117.9000000,119.0900000,20782720
GAZP,D,20170803,000000,119.1300000,119.9900000,118.8500000,119.5800000,22369700
GAZP,D,20170804,000000,119.3400000,119.8800000,118.6800000,119.4500000,17244330
GAZP,D,20170807,000000,119.3200000,120.3800000,118.9000000,119.5000000,21791100
GAZP,D,20170808,000000,119.4700000,119.8900000,119.2500000,119.6700000,14891840
GAZP,D,20170809,000000,119.3900000,119.4600000,118.0200000,118.6800000,20245120
GAZP,D,20170810,000000,118.7100000,119.4000000,118.0300000,118.0500000,18090560
GAZP,D,20170811,000000,117.5600000,117.8500000,116.3400000,116.9300000,24804530
GAZP,D,20170814,000000,117.1800000,117.9900000,117.1500000,117.4000000,13554100
GAZP,D,20170815,000000,117.1200000,117.7000000,116.5100000,117.5900000,16686400
GAZP,D,20170816,000000,117.8000000,117.8700000,116.6300000,116.7500000,19124720
GAZP,D,20170817,000000,116.7200000,116.9500000,115.9200000,116.2200000,16600490
GAZP,D,20170818,000000,115.8500000,116.0900000,115.1500000,116.0000000,22256230
GAZP,D,20170821,000000,116.1000000,116.4700000,115.3900000,115.9200000,16461430
GAZP,D,20170822,000000,115.9900000,116.7300000,115.6800000,116.0000000,16010450
GAZP,D,20170823,000000,116.0900000,116.2700000,115.0700000,115.7500000,22758830
GAZP,D,20170824,000000,115.7700000,116.8900000,115.4200000,116.5600000,18564950
GAZP,D,20170825,000000,116.8200000,118.0000000,116.5600000,117.8500000,21083020
GAZP,D,20170828,000000,117.7900000,118.7500000,117.5400000,118.7500000,16187340
GAZP,D,20170829,000000,118.5000000,118.6300000,116.5000000,118.3000000,27588290
GAZP,D,20170830,000000,118.4000000,118.9000000,116.8800000,118.2000000,31962280
GAZP,D,20170831,000000,117.9500000,119.2100000,117.3500000,117.9700000,41020210
GAZP,D,20170901,000000,118.0200000,118.2600000,117.0400000,117.4000000,22690580
GAZP,D,20170904,000000,117.0300000,117.6500000,116.5600000,117.0000000,15938500
GAZP,D,20170905,000000,117.5500000,117.8900000,115.9000000,116.0000000,26541020
GAZP,D,20170906,000000,116.0000000,117.5800000,115.6600000,117.1400000,24387110
GAZP,D,20170907,000000,117.6100000,119.0300000,117.3800000,117.9500000,37059350
GAZP,D,20170908,000000,118.2000000,120.4500000,118.1600000,120.3400000,41825350
GAZP,D,20170911,000000,120.8100000,121.9400000,119.6300000,121.0000000,40230290
GAZP,D,20170912,000000,121.2200000,122.0000000,120.1600000,121.9900000,27228360
GAZP,D,20170913,000000,121.9900000,124.3800000,121.9900000,123.5500000,51210280
GAZP,D,20170914,000000,123.5700000,124.1900000,122.7900000,123.3300000,29452320
GAZP,D,20170915,000000,122.8900000,123.0000000,121.5900000,122.5000000,41826920
GAZP,D,20170918,000000,122.5000000,123.3500000,122.0700000,122.7200000,26878140
GAZP,D,20170919,000000,122.7200000,122.8000000,121.0500000,121.7500000,32095850
GAZP,D,20170920,000000,121.8800000,122.4300000,121.5200000,122.2500000,25978430
GAZP,D,20170921,000000,122.1100000,123.2000000,121.6100000,122.3400000,35204520
GAZP,D,20170922,000000,122.3600000,122.4600000,121.3000000,121.9500000,19164830
GAZP,D,20170925,000000,121.9800000,123.6000000,121.9000000,123.0300000,28206840
GAZP,D,20170926,000000,123.2700000,124.1900000,122.8400000,123.0300000,25695940
GAZP,D,20170927,000000,123.1800000,123.6800000,122.4600000,123.3600000,22485510
GAZP,D,20170928,000000,123.2800000,123.6200000,122.1100000,122.5000000,22610060
GAZP,D,20170929,000000,122.5000000,122.8100000,121.7000000,122.2000000,17182380
GAZP,D,20171002,000000,122.2900000,122.4400000,121.4000000,121.9000000,14198990
GAZP,D,20171003,000000,121.8100000,122.1100000,120.4700000,120.7800000,26873740
GAZP,D,20171004,000000,120.6800000,121.9500000,119.7000000,121.7600000,24254160
GAZP,D,20171005,000000,121.7900000,123.9700000,121.5100000,123.5000000,39979330
GAZP,D,20171006,000000,123.5400000,124.4800000,123.2700000,123.4700000,30270700
GAZP,D,20171009,000000,123.7000000,124.9000000,123.4100000,124.8100000,22035180
GAZP,D,20171010,000000,125.0000000,125.3300000,124.1700000,124.4400000,20064040
GAZP,D,20171011,000000,124.5400000,126.0000000,124.3800000,126.0000000,30323720
GAZP,D,20171012,000000,126.0400000,126.7900000,125.4500000,125.9300000,18051060
GAZP,D,20171013,000000,126.0000000,127.3900000,125.8000000,126.8600000,23707840
GAZP,D,20171016,000000,127.1100000,127.8000000,126.6800000,127.1700000,23771970
GAZP,D,20171017,000000,127.0500000,127.2000000,125.0500000,125.1500000,28299320
GAZP,D,20171018,000000,125.4400000,127.0900000,125.2600000,126.7000000,29571630
GAZP,D,20171019,000000,126.7800000,127.3900000,125.1700000,125.5000000,22518290
GAZP,D,20171020,000000,125.8100000,127.0500000,125.6000000,126.7000000,21042270
GAZP,D,20171023,000000,127.0600000,127.4700000,126.3700000,126.8000000,17286880
GAZP,D,20171024,000000,126.8900000,126.9700000,125.6100000,126.0200000,20349440
GAZP,D,20171025,000000,126.5500000,126.7500000,124.2800000,125.0000000,24125900
GAZP,D,20171026,000000,124.9900000,125.3900000,124.0700000,124.2000000,14719810
GAZP,D,20171027,000000,124.5700000,125.9400000,123.6400000,125.9400000,28566500
GAZP,D,20171030,000000,125.9600000,126.9300000,125.5300000,125.9800000,19229280
GAZP,D,20171031,000000,126.1200000,126.6000000,125.5700000,125.9000000,11847690
GAZP,D,20171101,000000,126.3400000,126.8900000,125.9700000,126.5000000,18167600
GAZP,D,20171102,000000,125.8800000,126.0000000,124.8700000,125.6700000,15528250
GAZP,D,20171103,000000,125.7100000,126.8400000,125.7100000,125.9000000,22607180
GAZP,D,20171107,000000,127.0600000,132.5500000,127.0500000,132.2800000,82128530
GAZP,D,20171108,000000,132.1000000,133.9400000,131.5800000,132.3000000,39337670
GAZP,D,20171109,000000,132.3100000,132.8200000,131.1400000,131.5000000,33846240
GAZP,D,20171110,000000,131.0500000,133.8400000,130.5100000,132.5000000,47096990
GAZP,D,20171113,000000,132.6400000,134.1800000,131.7100000,133.3200000,29445370
GAZP,D,20171114,000000,133.0700000,134.2800000,132.3500000,132.9300000,42176770
GAZP,D,20171115,000000,132.0100000,132.7900000,131.2100000,131.2100000,23233500
GAZP,D,20171116,000000,131.7900000,132.7000000,127.7400000,129.2000000,42097040
GAZP,D,20171117,000000,129.6500000,130.8700000,129.0600000,129.6500000,18113220
GAZP,D,20171120,000000,129.8000000,130.4900000,128.6300000,129.9600000,15642930
GAZP,D,20171121,000000,130.4500000,133.0500000,130.3500000,132.4900000,35516950
GAZP,D,20171122,000000,133.0100000,133.6500000,132.2000000,132.5700000,25079290
GAZP,D,20171123,000000,132.5000000,133.1000000,131.3000000,131.6000000,29101330
GAZP,D,20171124,000000,131.5600000,134.1900000,131.3100000,133.5700000,29025290
GAZP,D,20171127,000000,133.6100000,135.1900000,132.8000000,133.5000000,27676810
GAZP,D,20171128,000000,133.2900000,135.1800000,132.5500000,135.1800000,26653360
GAZP,D,20171129,000000,134.8600000,134.8600000,132.9700000,133.5500000,27221990
GAZP,D,20171130,000000,133.0000000,134.3100000,132.0000000,132.1500000,39953360
GAZP,D,20171201,000000,132.4700000,133.3200000,131.7200000,133.0200000,24739380
GAZP,D,20171204,000000,133.0100000,134.0000000,131.9300000,133.7700000,17805030
GAZP,D,20171205,000000,133.4700000,133.9900000,132.7800000,133.6500000,12681030
GAZP,D,20171206,000000,133.3200000,134.2900000,132.9100000,134.0000000,14625230
GAZP,D,20171207,000000,133.6600000,133.8700000,132.8100000,133.0200000,18187870
GAZP,D,20171208,000000,133.4200000,133.9000000,132.0000000,132.6000000,16027170
GAZP,D,20171211,000000,132.3500000,134.6500000,132.3500000,134.6500000,22727400
GAZP,D,20171212,000000,134.6900000,135.6000000,133.6500000,135.5000000,25137070
GAZP,D,20171213,000000,135.1800000,136.4200000,134.6000000,135.5600000,23251380
GAZP,D,20171214,000000,135.4200000,136.2000000,134.9000000,135.9100000,22537690
GAZP,D,20171215,000000,135.7200000,136.1600000,135.0000000,135.5000000,25066350
GAZP,D,20171218,000000,135.6400000,136.3500000,132.9400000,134.2500000,31018990
GAZP,D,20171219,000000,134.1300000,134.7400000,133.5000000,133.9600000,16458270
GAZP,D,20171220,000000,133.9600000,134.3300000,132.3500000,132.5000000,23877480
GAZP,D,20171221,000000,133.0000000,133.4700000,130.2000000,131.7000000,39251410
GAZP,D,20171222,000000,132.1500000,133.4800000,131.0500000,132.4200000,16550650
GAZP,D,20171225,000000,132.7200000,133.1900000,131.8000000,131.9600000,5658690
GAZP,D,20171226,000000,132.2300000,132.4400000,129.6200000,131.2000000,12765160
GAZP,D,20171227,000000,131.2900000,132.2300000,130.4500000,130.9900000,15957460
GAZP,D,20171228,000000,130.8800000,131.2000000,129.8100000,130.5300000,16271890
GAZP,D,20171229,000000,130.4200000,130.9300000,128.8600000,130.5000000,16285270
GAZP,D,20180103,000000,131.0300000,132.2000000,130.6300000,132.2000000,10522070
GAZP,D,20180104,000000,132.5000000,136.2000000,132.3000000,135.8900000,32092300
GAZP,D,20180105,000000,135.8000000,137.1200000,135.0800000,137.1200000,19965100
GAZP,D,20180109,000000,138.0000000,141.3500000,137.6000000,140.0000000,52204990
GAZP,D,20180110,000000,140.4900000,143.4300000,139.5800000,143.4300000,51756440
GAZP,D,20180111,000000,143.2300000,144.8000000,142.3100000,144.5800000,38571480
GAZP,D,20180112,000000,144.2100000,144.5400000,141.6400000,143.9900000,36760620
GAZP,D,20180115,000000,144.3300000,145.5000000,142.6000000,142.9900000,30037050
GAZP,D,20180116,000000,143.1600000,145.3500000,141.8900000,145.2900000,36982660
GAZP,D,20180117,000000,144.5100000,149.2000000,143.3100000,148.7000000,64088350
GAZP,D,20180118,000000,148.7900000,150.3500000,148.1300000,150.3500000,53857120
GAZP,D,20180119,000000,149.9400000,151.0000000,148.4000000,149.1300000,38996740
GAZP,D,20180122,000000,149.0900000,150.3000000,148.8500000,150.3000000,22745110
GAZP,D,20180123,000000,150.8000000,151.6500000,147.7100000,148.8000000,35760870
GAZP,D,20180124,000000,148.5100000,149.7000000,146.6000000,149.7000000,24826570
GAZP,D,20180125,000000,150.0200000,151.3900000,149.2700000,149.8000000,41825580
GAZP,D,20180126,000000,149.4000000,149.5500000,146.0100000,147.1900000,35266440
GAZP,D,20180129,000000,146.7700000,147.2900000,144.1500000,144.7500000,36073370
GAZP,D,20180130,000000,144.0000000,146.4300000,142.3700000,143.5000000,51240710
GAZP,D,20180131,000000,142.9800000,144.5000000,141.8000000,143.3600000,44234770
GAZP,D,20180201,000000,143.4300000,146.1700000,143.1300000,145.3900000,37413040
GAZP,D,20180202,000000,145.6800000,146.7800000,142.8800000,144.0000000,39050390
GAZP,D,20180205,000000,142.8700000,145.2000000,142.3000000,144.5300000,33048750
GAZP,D,20180206,000000,141.7300000,142.8200000,140.4000000,141.5900000,51830950
GAZP,D,20180207,000000,142.4500000,143.3900000,141.0000000,141.0000000,32853320
GAZP,D,20180208,000000,140.4700000,140.8500000,137.1400000,137.2000000,42662580
GAZP,D,20180209,000000,135.9900000,136.7000000,132.8000000,135.5600000,53098540
GAZP,D,20180212,000000,136.8700000,138.1000000,136.0300000,137.3000000,29360450
GAZP,D,20180213,000000,138.0000000,140.1000000,137.4500000,139.8500000,36398240
GAZP,D,20180214,000000,140.0300000,140.5700000,137.0200000,138.8900000,34106600
GAZP,D,20180215,000000,139.7900000,140.9900000,137.0600000,137.0600000,29054840
GAZP,D,20180216,000000,137.8500000,139.4900000,136.7700000,137.0600000,24628330
GAZP,D,20180219,000000,137.3600000,138.7000000,137.1300000,138.3100000,14431390
GAZP,D,20180220,000000,138.7800000,144.2900000,138.7800000,141.3200000,62769320
GAZP,D,20180221,000000,140.9000000,144.0000000,140.5300000,144.0000000,24886450
GAZP,D,20180222,000000,143.4300000,145.9700000,142.6300000,145.9700000,29870140
GAZP,D,20180226,000000,148.0700000,149.9800000,146.4200000,147.0000000,37150990
GAZP,D,20180227,000000,147.2000000,147.4900000,144.8500000,146.5000000,24771080
GAZP,D,20180228,000000,145.5000000,145.7500000,142.2500000,143.1600000,36217520
GAZP,D,20180301,000000,141.0000000,142.0000000,139.3900000,140.1000000,47285230
GAZP,D,20180302,000000,139.6300000,140.5900000,137.7700000,138.5700000,26799640
GAZP,D,20180305,000000,138.8000000,141.8300000,138.5700000,141.6000000,23220830
GAZP,D,20180306,000000,142.2500000,143.4900000,140.4700000,140.5900000,24358140
GAZP,D,20180307,000000,139.9600000,139.9800000,137.3800000,138.5600000,28189860
GAZP,D,20180309,000000,138.8000000,139.8100000,137.7900000,139.8100000,12080580
GAZP,D,20180312,000000,140.4400000,141.9600000,140.1100000,141.3500000,16899310
GAZP,D,20180313,000000,141.1000000,142.9300000,139.9500000,142.7500000,22899860
GAZP,D,20180314,000000,141.8200000,141.9800000,138.8000000,138.8000000,31765180
GAZP,D,20180315,000000,138.5800000,140.0600000,138.0000000,138.2500000,34232460
GAZP,D,20180316,000000,138.6600000,141.0000000,137.1100000,141.0000000,42459720
GAZP,D,20180319,000000,141.2000000,141.7700000,139.4300000,139.9100000,21582910
GAZP,D,20180320,000000,140.2500000,142.7000000,139.3100000,142.4500000,25931850
GAZP,D,20180321,000000,142.7000000,144.0000000,140.8400000,141.5100000,31141240
GAZP,D,20180322,000000,141.7300000,142.0800000,139.2000000,139.5000000,20677700
GAZP,D,20180323,000000,138.7800000,142.4900000,137.8200000,142.0000000,33554360
GAZP,D,20180326,000000,142.0100000,142.0800000,138.2700000,138.2700000,27556030
GAZP,D,20180327,000000,139.2300000,141.7000000,139.0100000,140.8000000,25427090
GAZP,D,20180328,000000,140.0100000,141.6700000,139.1300000,140.4700000,21273130
GAZP,D,20180329,000000,140.7100000,142.8000000,140.7100000,142.8000000,23762490
GAZP,D,20180330,000000,143.0000000,143.3100000,142.0500000,142.3300000,8337160
GAZP,D,20180402,000000,142.3900000,143.7000000,140.3200000,140.3200000,18501160
GAZP,D,20180403,000000,140.3200000,141.3000000,139.7000000,141.1300000,13758480
GAZP,D,20180404,000000,141.0200000,141.5200000,139.0200000,140.1800000,22247310
GAZP,D,20180405,000000,140.6600000,141.3500000,139.8000000,140.5000000,20436610
GAZP,D,20180406,000000,140.1300000,141.9700000,139.4500000,141.5000000,27346240
GAZP,D,20180409,000000,140.9300000,141.2200000,128.1900000,135.0100000,91006200
GAZP,D,20180410,000000,134.9500000,141.9700000,133.5000000,140.6200000,58453070
GAZP,D,20180411,000000,141.0000000,146.2900000,140.7100000,145.2700000,62134680
GAZP,D,20180412,000000,145.7100000,146.8900000,142.1300000,145.9900000,40706810
GAZP,D,20180413,000000,146.0000000,146.7500000,142.0900000,142.5800000,26381420
GAZP,D,20180416,000000,141.0300000,142.8300000,139.8700000,141.5000000,26630690
GAZP,D,20180417,000000,142.4500000,143.1800000,140.6600000,142.4000000,26680260
GAZP,D,20180418,000000,142.6700000,145.3100000,142.0400000,144.7500000,28080120
GAZP,D,20180419,000000,145.2000000,145.7500000,142.5700000,143.4000000,20518720
GAZP,D,20180420,000000,143.3000000,145.5000000,142.9000000,144.4000000,21147520
GAZP,D,20180423,000000,144.3000000,144.4800000,142.0000000,143.9900000,32633930
GAZP,D,20180424,000000,144.0000000,146.5200000,143.5200000,144.1400000,29007820
GAZP,D,20180425,000000,143.5000000,143.8900000,141.4100000,142.7000000,23792050
GAZP,D,20180426,000000,143.0100000,145.7500000,142.6000000,145.4800000,22254120
GAZP,D,20180427,000000,145.8100000,146.0000000,143.7700000,144.5000000,19498970
GAZP,D,20180428,000000,144.5000000,144.5000000,143.8300000,144.3000000,2256470
GAZP,D,20180430,000000,144.3200000,147.2900000,143.7000000,145.9300000,15278690
GAZP,D,20180502,000000,145.3300000,145.7700000,143.9600000,144.9400000,16008500
GAZP,D,20180503,000000,144.6500000,146.1500000,142.7000000,142.7000000,23992750
GAZP,D,20180504,000000,143.4000000,144.2000000,143.0900000,143.7300000,11726530
GAZP,D,20180507,000000,144.5700000,145.1000000,143.4500000,144.0500000,9382400
GAZP,D,20180508,000000,143.7800000,145.4800000,143.1600000,145.4800000,18282910
GAZP,D,20180510,000000,145.9800000,147.1500000,145.5700000,146.3800000,24103610
GAZP,D,20180511,000000,146.4800000,151.1000000,146.4700000,150.7000000,44778970
GAZP,D,20180514,000000,151.2700000,151.2700000,148.0300000,150.9800000,27828900
GAZP,D,20180515,000000,150.4800000,150.7000000,148.0000000,149.2000000,29085690
GAZP,D,20180516,000000,148.6000000,150.7000000,148.1100000,148.5900000,43775810
GAZP,D,20180517,000000,149.1500000,149.3600000,147.1500000,147.1500000,19160740
GAZP,D,20180518,000000,147.2000000,147.8800000,145.1900000,145.6500000,21435990
GAZP,D,20180521,000000,146.0000000,148.2000000,145.9000000,146.7600000,16198700
GAZP,D,20180522,000000,146.9700000,147.6000000,146.4200000,146.5000000,13141580
GAZP,D,20180523,000000,146.1800000,146.9400000,144.8800000,146.0600000,19430340
GAZP,D,20180524,000000,146.3000000,147.1500000,144.9300000,145.2700000,20556400
